"id","code","uri","name","description","vocabulary"
"identifier-agrovoc","agrovoc","http://id.loc.gov/vocabulary/identifiers/agrovoc","AGROVOC multilingual agricultural thesaurus",,"Standard Identifier Schemes (LC)"
"identifier-allmovie","allmovie","http://id.loc.gov/vocabulary/identifiers/allmovie","AllMovie",,"Standard Identifier Schemes (LC)"
"identifier-allmusic","allmusic","http://id.loc.gov/vocabulary/identifiers/allmusic","AllMusic",,"Standard Identifier Schemes (LC)"
"identifier-allocine","allocine","http://id.loc.gov/vocabulary/identifiers/allocine","AlloCiné",,"Standard Identifier Schemes (LC)"
"identifier-amnbo","amnbo","http://id.loc.gov/vocabulary/identifiers/amnbo","American National Biography Online",,"Standard Identifier Schemes (LC)"
"identifier-ansi","ansi","http://id.loc.gov/vocabulary/identifiers/ansi","American National Standards Institute and National Information Standards Organisation number for an ANSI or ANSI/NISO standard",,"Standard Identifier Schemes (LC)"
"identifier-artsy","artsy","http://id.loc.gov/vocabulary/identifiers/artsy","Artsy",,"Standard Identifier Schemes (LC)"
"identifier-bdusc","bdusc","http://id.loc.gov/vocabulary/identifiers/bdusc","Biographical Directory of the United States Congress",,"Standard Identifier Schemes (LC)"
"identifier-bfi","bfi","http://id.loc.gov/vocabulary/identifiers/bfi","BFI - British Film Institute","Refers to the part of the ISBN number that is stable for a publisher's publications (the registrant element).","Standard Identifier Schemes (LC)"
"identifier-bnfcg","bnfcg","http://id.loc.gov/vocabulary/identifiers/bnfcg","BnF catalogue général",,"Standard Identifier Schemes (LC)"
"identifier-cantic","cantic","http://id.loc.gov/vocabulary/identifiers/cantic","CANTIC (Biblioteca de Catalunya)",,"Standard Identifier Schemes (LC)"
"identifier-cgndb","cgndb","http://id.loc.gov/vocabulary/identifiers/cgndb","Canadian Geographical Names Database",,"Standard Identifier Schemes (LC)"
"identifier-danacode","danacode","http://id.loc.gov/vocabulary/identifiers/danacode","Danacode",,"Standard Identifier Schemes (LC)"
"identifier-datoses","datoses","http://id.loc.gov/vocabulary/identifiers/datoses","datos.bne.es",,"Standard Identifier Schemes (LC)"
"identifier-discogs","discogs","http://id.loc.gov/vocabulary/identifiers/discogs","Discogs",,"Standard Identifier Schemes (LC)"
"identifier-dkfilm","dkfilm","http://id.loc.gov/vocabulary/identifiers/dkfilm","Det Danske Filminstitut Filmdatabasen",,"Standard Identifier Schemes (LC)"
"identifier-doi","doi","http://id.loc.gov/vocabulary/identifiers/doi","Digital Object Identifier",,"Standard Identifier Schemes (LC)"
"identifier-ean","ean","http://id.loc.gov/vocabulary/identifiers/ean","International Article Number",,"Standard Identifier Schemes (LC)"
"identifier-eidr","eidr","http://id.loc.gov/vocabulary/identifiers/eidr","EIDR: Entertainment Identifier Registry",,"Standard Identifier Schemes (LC)"
"identifier-fast","fast","http://id.loc.gov/vocabulary/identifiers/fast","FAST - Faceted Application of Subject Terminology",,"Standard Identifier Schemes (LC)"
"identifier-filmport","filmport","http://id.loc.gov/vocabulary/identifiers/filmport","filmportal.de",,"Standard Identifier Schemes (LC)"
"identifier-findagr","findagr","http://id.loc.gov/vocabulary/identifiers/findagr","Find a Grave",,"Standard Identifier Schemes (LC)"
"identifier-freebase","freebase","http://id.loc.gov/vocabulary/identifiers/freebase","Freebase",,"Standard Identifier Schemes (LC)"
"identifier-gec","gec","http://id.loc.gov/vocabulary/identifiers/gec","Gran enciclopèdia catalana",,"Standard Identifier Schemes (LC)"
"identifier-geogndb","geogndb","http://id.loc.gov/vocabulary/identifiers/geogndb","Geographic Names Database",,"Standard Identifier Schemes (LC)"
"identifier-geonames","geonames","http://id.loc.gov/vocabulary/identifiers/geonames","GeoNames",,"Standard Identifier Schemes (LC)"
"identifier-gettytgn","gettytgn","http://id.loc.gov/vocabulary/identifiers/gettytgn","Getty Thesaurus of Geographic Names Online",,"Standard Identifier Schemes (LC)"
"identifier-gettyulan","gettyulan","http://id.loc.gov/vocabulary/identifiers/gettyulan","Union List of Artist Names Online",,"Standard Identifier Schemes (LC)"
"identifier-gnd","gnd","http://id.loc.gov/vocabulary/identifiers/gnd","Gemeinsame Normdatei",,"Standard Identifier Schemes (LC)"
"identifier-gnis","gnis","http://id.loc.gov/vocabulary/identifiers/gnis","Geographic Names Information System (United States Geological Survey, Board on Geographic Names)",,"Standard Identifier Schemes (LC)"
"identifier-gtin-14","gtin-14","http://id.loc.gov/vocabulary/identifiers/gtin-14","Global Trade Identification Number 14",,"Standard Identifier Schemes (LC)"
"identifier-hdl","hdl","http://id.loc.gov/vocabulary/identifiers/hdl","Handle",,"Standard Identifier Schemes (LC)"
"identifier-ibdb","ibdb","http://id.loc.gov/vocabulary/identifiers/ibdb","IBDB - Internet Broadway Database",,"Standard Identifier Schemes (LC)"
"identifier-idref","idref","http://id.loc.gov/vocabulary/identifiers/idref","IdRef: le référentiel des autorités Sudoc",,"Standard Identifier Schemes (LC)"
"identifier-imdb","imdb","http://id.loc.gov/vocabulary/identifiers/imdb","IMDb - Internet Movie Database",,"Standard Identifier Schemes (LC)"
"identifier-isan","isan","http://id.loc.gov/vocabulary/identifiers/isan","International Standard Audiovisual Number",,"Standard Identifier Schemes (LC)"
"identifier-isbn","isbn","http://id.loc.gov/vocabulary/identifiers/isbn","International Standard Book Number",,"Standard Identifier Schemes (LC)"
"identifier-isbnre","isbnre","http://id.loc.gov/vocabulary/identifiers/isbnre","ISBN registrant element",,"Standard Identifier Schemes (LC)"
"identifier-isil","isil","http://id.loc.gov/vocabulary/identifiers/isil","ISIL",,"Standard Identifier Schemes (LC)"
"identifier-ismn","ismn","http://id.loc.gov/vocabulary/identifiers/ismn","International Standard Music Number",,"Standard Identifier Schemes (LC)"
"identifier-isni","isni","http://id.loc.gov/vocabulary/identifiers/isni","International Standard Name Identifier",,"Standard Identifier Schemes (LC)"
"identifier-iso","iso","http://id.loc.gov/vocabulary/identifiers/iso","International Organization for Standardization number for an ISO standard",,"Standard Identifier Schemes (LC)"
"identifier-isrc","isrc","http://id.loc.gov/vocabulary/identifiers/isrc","International Standard Recording Code",,"Standard Identifier Schemes (LC)"
"identifier-issn","issn","http://id.loc.gov/vocabulary/identifiers/issn","International Standard Serial Number",,"Standard Identifier Schemes (LC)"
"identifier-issn-l","issn-l","http://id.loc.gov/vocabulary/identifiers/issn-l","Linking International Standard Serial Number",,"Standard Identifier Schemes (LC)"
"identifier-issue-number","issue-number","http://id.loc.gov/vocabulary/identifiers/issue-number","Sound recording issue number",,"Standard Identifier Schemes (LC)"
"identifier-istc","istc","http://id.loc.gov/vocabulary/identifiers/istc","International Standard Text Code",,"Standard Identifier Schemes (LC)"
"identifier-iswc","iswc","http://id.loc.gov/vocabulary/identifiers/iswc","International Standard Musical Work Code",,"Standard Identifier Schemes (LC)"
"identifier-itar","itar","http://id.loc.gov/vocabulary/identifiers/itar","ITAR",,"Standard Identifier Schemes (LC)"
"identifier-kinipo","kinipo","http://id.loc.gov/vocabulary/identifiers/kinipo","КиноПоиск = KinoPoisk",,"Standard Identifier Schemes (LC)"
"identifier-lccn","lccn","http://id.loc.gov/vocabulary/identifiers/lccn","Library of Congress Control Number",,"Standard Identifier Schemes (LC)"
"identifier-lcmd","lcmd","http://id.loc.gov/vocabulary/identifiers/lcmd","Library of Congress Manuscript Division",,"Standard Identifier Schemes (LC)"
"identifier-libaus","libaus","http://id.loc.gov/vocabulary/identifiers/libaus","Libraries Australia",,"Standard Identifier Schemes (LC)"
"identifier-local","local","http://id.loc.gov/vocabulary/identifiers/local","Locally defined identifier",,"Standard Identifier Schemes (LC)"
"identifier-matrix-number","matrix-number","http://id.loc.gov/vocabulary/identifiers/matrix-number","Sound recording matrix number",,"Standard Identifier Schemes (LC)"
"identifier-moma","moma","http://id.loc.gov/vocabulary/identifiers/moma","Museum of Modern Art",,"Standard Identifier Schemes (LC)"
"identifier-munzing","munzing","http://id.loc.gov/vocabulary/identifiers/munzing","Munzinger",,"Standard Identifier Schemes (LC)"
"identifier-music-plate","music-plate","http://id.loc.gov/vocabulary/identifiers/music-plate","Publisher's music plate number",,"Standard Identifier Schemes (LC)"
"identifier-music-publisher","music-publisher","http://id.loc.gov/vocabulary/identifiers/music-publisher","Publisher-assigned music number",,"Standard Identifier Schemes (LC)"
"identifier-musicb","musicb","http://id.loc.gov/vocabulary/identifiers/musicb","MusicBrainz",,"Standard Identifier Schemes (LC)"
"identifier-natgazfid","natgazfid","http://id.loc.gov/vocabulary/identifiers/natgazfid","U.S. National Gazetteer Feature Name Identifier",,"Standard Identifier Schemes (LC)"
"identifier-nga","nga","http://id.loc.gov/vocabulary/identifiers/nga","National Gallery of Art",,"Standard Identifier Schemes (LC)"
"identifier-nipo","nipo","http://id.loc.gov/vocabulary/identifiers/nipo","Número de Identificación de las Publicaciones Oficiales",,"Standard Identifier Schemes (LC)"
"identifier-nndb","nndb","http://id.loc.gov/vocabulary/identifiers/nndb","NNDB",,"Standard Identifier Schemes (LC)"
"identifier-npg","npg","http://id.loc.gov/vocabulary/identifiers/npg","National Portrait Gallery",,"Standard Identifier Schemes (LC)"
"identifier-odnb","odnb","http://id.loc.gov/vocabulary/identifiers/odnb","Oxford Dictionary of National Biography",,"Standard Identifier Schemes (LC)"
"identifier-opensm","opensm","http://id.loc.gov/vocabulary/identifiers/opensm","OpenStreetMap",,"Standard Identifier Schemes (LC)"
"identifier-orcid","orcid","http://id.loc.gov/vocabulary/identifiers/orcid","Open Researcher and Contributor Identifier",,"Standard Identifier Schemes (LC)"
"identifier-oxforddnb","oxforddnb","http://id.loc.gov/vocabulary/identifiers/oxforddnb","Oxford Biography Index",,"Standard Identifier Schemes (LC)"
"identifier-porthu","porthu","http://id.loc.gov/vocabulary/identifiers/porthu","PORT.hu",,"Standard Identifier Schemes (LC)"
"identifier-rbmsbt","rbmsbt","http://id.loc.gov/vocabulary/identifiers/rbmsbt","RBMS Controlled Vocabularies: Binding Terms",,"Standard Identifier Schemes (LC)"
